# line,type,amount,ministry,source
177,Έσοδα,4722000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150103 Φόρος στο εισόδημα από μισθούς - παρακράτηση
178,Έσοδα,4722000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150103001 Φόρος στο εισόδημα από μισθούς - παρακράτηση
179,Έσοδα,1958000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150104 Φόρος στο εισόδημα από συντάξεις - παρακράτηση
180,Έσοδα,1958000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150104001 Φόρος στο εισόδημα από συντάξεις - παρακράτηση
181,Έσοδα,261000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150106001 Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας
182,Έσοδα,55000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150107 Ειδική εισφορά αλληλεγγύης στα ΦΠ
183,Έσοδα,55000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150107001 Ειδική εισφορά αλληλεγγύης στα ΦΠ
184,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150189 Λοιποί φόροι στο εισόδημα ΦΠ
185,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150189001 Λοιποί φόροι στο εισόδημα ΦΠ
186,Έσοδα,4908000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11502 Φόρος εισοδήματος πληρωτέος από εταιρίες (ΝΠ)
